original,normalized,title
mebaru-nitsuke,mebaru-nitsuke,メバルの煮付け
karei-nitsuke,karei-nitsuke,カレイの煮付け
karei-miso-hoil,karei-miso-hoil,カレイの味噌ホイル焼き
madai-curry-hoil,madai-curry-hoil,真鯛のカレー粉焼きホイル包み
hirame-zukedon,hirame-zukedon,ヒラメの漬け丼
aburame-shioyaki,aburame-shioyaki,アブラメの塩焼き
taimeshi,taimeshi,鯛めし
beef-hamburg,beef-hamburg,ビーフ100%ジューシーデミハンバーグ
tofu-hijiki-hamburg,tofu-hijiki-hamburg,豆腐とひじき入りハンバーグ
rebanira,rebanira,野菜たっぷりレバニラ炒め
muneniku-tomato,muneniku-tomato,スパイシーたっぷりむね肉のトマト煮
demi-omurice,demi-omurice,デミグラスオムライス
demi-meat-pasta,demi-meat-pasta,余ったデミソースを使ったミートソースパスタ
kaisen-ankake-don,kaisen-ankake-don,海鮮あんかけ丼
muneniku-soboro-don,muneniku-soboro-don,むね肉そぼろ丼
okawakame-hiyashi,okawakame-hiyashi,おかわかめとオクラの冷やしわかめ中華
seafood-kinoko-curry,seafood-kinoko-curry,シーフードときのこのカレー
muneniku-chicken-curry,muneniku-chicken-curry,むね肉チキンカレー
shio-sutadon,shio-sutadon,すた丼インスパイア塩すた丼
bat-tomato-omurice,bat-tomato-omurice,バットで食べるトマトソースオムライス
butter-seafood-pasta,butter-seafood-pasta,バター香るシーフードパスタ
yodare-chicken,yodare-chicken,しっとりよだれ鶏
gekikara-mapo,gekikara-mapo,激辛麻婆豆腐
mapo-ramen,mapo-ramen,麻婆ラーメン
oatmeal-apple-pie,oatmeal-apple-pie,オートミールで作るチョコチップ入りクランブルアップルパイ
