slug,title,excerpt,prep_time,cook_time,servings,servings_count,difficulty,tags
mebaru-nitsuke,メバルの煮付け,漁師の一次情報レシピ。甘さ控えめで魚の旨味が主役の煮付け。,10分,10分,2人分,2,easy,"魚,煮付け,定番"
karei-nitsuke,カレイの煮付け,魚の旨味を前面に出す、家庭で作りやすい煮付け。,10分,10分,2人分,2,easy,"魚,煮付け,定番"
karei-miso-foil,カレイの味噌ホイル焼き,味噌×白ごまの和風ホイル焼き。玉ねぎとしめじで旨味の層を作る。,10分,15分,2人分,2,easy,"魚,ホイル焼き,味噌"
madai-curry-foil,真鯛のカレー粉焼きホイル包み,カレー粉×バターで香りを立てるホイル焼き。,10分,20分,2人分,2,easy,"魚,ホイル焼き,カレー"
hirame-zukedon,ヒラメの漬け丼,漁師のまかない風。卵黄を添えると濃厚な丼もの。,15分,5分,2人分,2,easy,"魚,丼もの,刺身"
aburame-shioyaki,アブラメの塩焼き,塩だけで勝負する漁師の朝飯。素材の鮮度が命。,15分,10分,2人分,2,easy,"魚,焼き物,シンプル"
taimeshi,鯛めし,鯛の骨から出る旨味が米に染みる炊き込みご飯。,15分,40分,4人分,4,medium,"魚,炊き込み,定番"
beef-100-demi-hamburg,ビーフ100%ジューシーデミハンバーグ,生パン粉でジューシー、秒単位の火入れで仕上げるプロ仕様。,20分,15分,2人分,2,medium,"肉,洋食,定番"
tofu-hijiki-hamburg,豆腐とひじき入りハンバーグ,ふわっと軽く栄養価が高い和洋折衷ハンバーグ。,20分,15分,2人分,2,medium,"肉,ヘルシー,豆腐"
liver-nira,野菜たっぷりレバニラ炒め,レバーの臭みを消し野菜でボリュームアップ。,20分,10分,2人分,2,medium,"肉,中華,野菜"
spicy-mune-tomato,スパイシーたっぷりむね肉のトマト煮,トマト×スパイスで減量向き、むね肉が柔らかく仕上がる。,15分,25分,3人分,3,easy,"肉,ヘルシー,トマト"
demi-omurice,デミグラスオムライス,デミソースをかける洋食屋スタイル。ふわとろ卵と濃厚ソースの組合せ。,15分,15分,2人分,2,medium,"洋食,卵,定番"
demi-meat-pasta,余ったデミソースを使ったミートソースパスタ,デミソースを活用したリメイクレシピ。コクが深い。,10分,15分,2人分,2,easy,"麺,洋食,リメイク"
seafood-ankake-don,海鮮あんかけ丼,海鮮の旨味ととろみで満足感が高い丼。,15分,15分,2人分,2,easy,"丼もの,海鮮,あんかけ"
mune-soboro-don,むね肉そぼろ丼,低脂質で甘辛のそぼろがご飯に合う。作り置きにも最適。,5分,10分,2人分,2,easy,"丼もの,肉,ヘルシー"
cold-wakame-chinese,おかわかめとオクラの冷やしわかめ中華,夏にぴったりの栄養バランス飯。たんぱく質と食物繊維が豊富。,15分,10分,2人分,2,easy,"麺,ヘルシー,夏"
seafood-kinoko-curry,シーフードときのこのカレー,シーフードの旨味ときのこの香りが合わさる深い味わい。,15分,30分,4人分,4,easy,"カレー,海鮮,きのこ"
mune-chicken-curry,むね肉チキンカレー,水を使わずトマト缶ベースで仕上げる、むね肉のチキンカレー。,15分,30分,4人分,4,easy,"カレー,肉,ヘルシー"
salt-sutadon,すた丼インスパイア塩すた丼,にんにくと塩ダレでご飯が止まらないガッツリ系丼。,10分,10分,2人分,2,easy,"丼もの,肉,にんにく"
bat-tomato-omurice,バットで食べるトマトソースオムライス,豪快なバット盛りスタイル。トマトソースが主役。,15分,15分,4人分,4,easy,"洋食,卵,パーティー"
butter-seafood-pasta,バター香るシーフードパスタ,バターとシーフードの旨味を活かすシンプルなパスタ。,10分,15分,2人分,2,easy,"麺,海鮮,バター"
yodare-dori,しっとりよだれ鶏,余熱でしっとり仕上げる鶏むね肉に香味ダレをかける中華の定番。,20分,15分,2人分,2,medium,"肉,中華,ヘルシー"
spicy-mapodofu,激辛麻婆豆腐,肉味噌が核。辛味と痺れのバランスでご飯が進む。,15分,15分,2人分,2,medium,"中華,豆腐,辛い"
mapo-ramen,麻婆ラーメン,麻婆豆腐の旨味をラーメンスープに落とした一皿。,10分,10分,2人分,2,easy,"麺,中華,辛い"
oatmeal-apple-crumble,オートミールで作るチョコチップ入りクランブルアップルパイ,オートミールでザクザクのクランブル、チョコチップで満足感を補う軽めスイーツ。,20分,30分,4人分,4,medium,"スイーツ,オートミール,ヘルシー"
